word,definition
inhalation,flu
inhale,flu
inhaler,flu
inherent,flu
inherit,flu
inheritance,flu
inherited,"a characteristic or condition that is passed down from
birth parents"
inhibit,flu
initial,first
initiate,"begin, create, open, start"
injection,flu
injunction,"ban, order"
innate,"inborn, natural"
innervation,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
innovate,change
innovation,change
inquire,ask
insecure,"unsafe, unsure"
insomnia,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
inspiration,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
institutional review board (irb),the committee that oversees research at the institution
instrument,flu
insufficient,flu
insulin,the hormone that controls blood sugar levels
insurrection,"mutiny, revolt, riot"
integrate,flu
integrity,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
integumentary,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
intention,flu
intention tremor,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
intercostal,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
interface,"connect, discuss, talk, work tog"
interfere,get in the way of
interferon,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
interictal,happening between seizures
interior,inside of the body
intermission,"break, pause"
intermittent,"occurring (regularly or irregularly) between two time
points; alternately ceasing and beginning"
intermittent claudication,"on-again, off-again pain and weakness in legs which
interferes with walking"
internal,within the body
internal organs,"intracranial pressure means the pressure inside your skull
and on your brain. high pressure in the head can give you
a headache."
interrogate,"pump, question, quiz"
interrupt,flu
interstitial,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
interval,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
intervention,"ways to stop the spread of illness without drugs,"
intervertebral disks,pads found between each ring (bone) in the spine
intoxication,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
intracavity injection,injection of a substance into a body cavity
intracoronary thrombolytic therapy,"injection of medicine to dissolve a blood clot in an
artery of the heart"
intracranial,inside the skull
intradermal injection,injection of a substance into the skin
intradermal tests,"allergy tests performed by injecting allergy-causing
substances underneath the skin to see if they cause a
reaction"
intradermally,given into the skin
intramuscular (im),into the muscle
intramuscular injection,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
intramuscular injection (im),"injection of a substance into a muscle (e.g., upper arm
pr backside)"
intraocular,within the eye
intraperitoneal,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
intrathecal,into the spinal fluid
intrathecal injection,"injection of a substance into the space surrounding the
spinal cord (i.e., spinal canal)"
intravenous (iv),into a vein
intravenous (iv) injection,injection of a substance into a vein
intravenous (iv) line,a special needle designed to stay in a vein
intravenous injection,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
intravenous pyelogram,"x-ray of the kidneys and ureters using dye that is
injected into the blood"
intravesical,in the bladder
intrinsic,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
intubate,"to insert a tube into the mouth or nose to assist in
breathing"
intussusception,telescoping of the intestine into itself
inundate,"deluge, engulf, flood, overflow"
invasive procedure,"puncture, opening or cutting of the skin"
inversion,turning inward
investigation,study
investigational,experimental
investigational device exemption (ide),the license to test an unapproved new medical device
investigational method,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
investigational new drug (ind),drug not yet approved by the fda
iritis,inflammation of the iris
irrefutable,flu
irrelevant,"beside th, off-base"
irresponsible,"careless,, harsh, reckless"
irrigation,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
irritable,"sensitive, complaining, grouchy, testy"
"irritable
lacerate","grumpy, cause pai, tear"
irritable bowel syndrome,"bowel disorder in which there is pain and diarrhea or
constipation"
irritant,"bother; pain, pest, problem"
ischemia,"decreased oxygen in a tissue (usually because of
decreased blood flow)"
ischemic stroke,stroke due to a blood clot
ischium,"lower part of the pelvic bone, part you sit on"
islets of langerhans,"tissue in the pancreas that makes and discharges insulin
and other hormones"
isolate,a specific type of virus; a specific type of flu
isthmus,thin strip of tissue that joins two parts of the body
jaundice,skin and eyes turn yellow
jejunum,second and longest part of the small intestine
joint,"place where two bones come together (knee, elbow,"
kaposi's sarcoma,"purple or brown cancerous pimples on the skin, often
associated with aids"
kaposi’s sarcoma,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
karyocyte,cell with a center
karyoplasm,material inside the center of a cell
keloid,type of scar tissue that keeps growing inside
keratin,"protein that is found in the hair, nails, and skin"
keratoplasty,surgery to fix the cornea
keratosis pilaris,"hard little bumps which can be on your back, arms and the
top part of your leg."
ketone bodies,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
keyhole surgery,"keyhole surgery is an operation where the doctor makes
small cuts instead of making a big cut, to get inside
your body. they put a special camera on a tube, called a
laparoscope, through one of the small cuts, to see inside
the body to do the operation. doctors can put other
tools through the small cuts to do the operation. this
lets doctors can find out what sickness you have, or to
do an operation that leaves less scars than other types of
operations where the doctor has to make big cuts to see
inside your body (called a laparotomy)."
kidney,"kidney, organ that filters blood"
kidney bone disease,"your body has 2 kidneys that sit inside your rib cage. your
body continually makes leftover rubbish, just like ashes
are left over from a fire. your blood carries this left-over
rubbish, and the kidneys take it out of the blood. the
kidneys also balance the water and salt in your blood.
like you balance in a boat to keep it upright, your kidneys
balance the salt and water in your blood to keep your body
right. they take the leftover rubbish and water and salt and
make it into wee (urine). if your kidneys stop working, you
will need to have dialysis. the dialysis machine does the
job of taking away the rubbish and extra water from your
blood."
knee,"the kneecap is a round, flat bone that sits in front of your
knee joint. your patella protects the knee joint."
knuckle,"knuckles are the 5 bones in your hand, between your
fingers or thumb and your wrist. the heads of your
metacarpal bones are called knuckles. when you clench
your fist, your knuckles stick out."
kyphosis,hunchback
labile,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
labour,"the inside part of your ear. the labyrinth has two parts, the
cochlea which is important for hearing, and the vestibular
system which is important for balance."
labyrinth,structure in the inner ear
labyrinthectomy,surgery to remove the inner ear
labyrinthitis,inflammation of the inner ear
lacerate,"cut, tear"
"lacerate, laceration",a big cut
laceration,"cut, tear"
lacrimal,having to do with the tears
lacrimal duct,"passageway in the eyelids that drains tears; a type of
tear duct"
lactating,making milk
lactic dehydrogenase,"the cell made by joining of the female egg and male
sperm at the beginning of pregnancy"
lactic dehydrogenase (ldh),"substance measured in a blood test to assess damage to
heart and other organs"
